instructions,inputs,aspects,outputs
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.,recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,A vizinhança é esquisita e o quarto do hotel é muito pequeno.,quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,A vizinhança é esquisita e o quarto do hotel é muito pequeno.,hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,O cobertor da cama cheirava a urina e o banheiro também fedia.,cama,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",tv,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",elevador,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Seus atendentes e serviços são bem básicos e objetivos.,serviço,neutra
Please extract the sentiment polarity for the given aspect in the review:,O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,serviço de quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,limpeza,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores.",preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos eram limpos e novos, porém um pouco pequenos.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente.",cama,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Se volta à NY, definitivamente pretendo ficar novamente no hotel.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema.,recepção,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar.",localização,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio.",cidade,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto, apesar de pequeno, muito confortável e bonito!",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Com um serviço de limpeza impecável, foi uma estadia bem agradável.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Com um serviço de limpeza impecável, foi uma estadia bem agradável.",limpeza,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apesar de boa localização, um dos piores hotéis que já fiquei.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os elevadores já são pequenos, quartos também.",elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os elevadores já são pequenos, quartos também.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,A limpeza é falha.,limpeza,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Quartos mal limpos, funcionários cheirando muito mal e também mal-educados.",funcionários,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Dentre as grosserias, um recepcionista reclamando do horário do check-out.",horário,negativa
Please extract the sentiment polarity for the given aspect in the review:,Impossível de recomendar o hotel para um amigo.,hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.",hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,"o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.",elevador,neutra
Please extract the sentiment polarity for the given aspect in the review:,A recepção fica num ângula que nem vê quem entra e sai..,recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",elevador,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Passamos 4 excelentes noites e voltaremos à Paris um dia e pretendemos ir para lá novamente, pois a relação custo-benefício é recompensadora.",custo-benefício,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Eu , mulher e filha ficamos muito satisfeitos com o hotel.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Room Tip: Ficamos no 22, de frente para a rua, que é tranquila e segura, pois é próximo da residência oficial...",rua,positiva
Please extract the sentiment polarity for the given aspect in the review:,Banheiro sem box com chuveiro que vazava água pelas juntas.,chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,O colchão era muito ruim e deformado e havia muito barulho nos corredores.,colchão,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Boa localização, em bairro silencioso.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Bom café da manhã e atendimento atencioso.,café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,Bom café da manhã e atendimento atencioso.,atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Em relação aos quartos, mesmo para o padrão proposto pela rede IBIS, não são minúsculos.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,Acomodam bem um casal.,casal,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A conexão de Internet funcionou muito bem, mas conta apenas com uma estação comunitária.",internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...",apartamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,Bateram na porta e minha esposa gritou que tinha alguém dentro do quarto mas mesmo assim sem permissão um funcionário da manutenção do hotel entrou no quarto para pegar um teclado de computado.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Mas este não foi o maior problema pois não estamos livres destes deslizes acontecer, o problema maior foi a forma como a chefia da recepção agiu pois, quando fui reclamar, a chefe da recepção simplesmente disse que tinha mandado o funcionário fazer o que fez e que era normal ele entrar nos quartos com hospedes se trocando.",recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Com certeza, a pior experiência que tivemos em um Hotel.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Ele esta em Péssimas condições de conservação, desde a ducha do banheiro que nao saia água, as paredes descascadas.",ducha,negativa
Please extract the sentiment polarity for the given aspect in the review:,Funcionários despreparados e nada simpáticos.,funcionários,negativa
Please extract the sentiment polarity for the given aspect in the review:,"No check out, queriam nos cobras € 100 , dizendo que quebramos a tampa do vaso sanitário, e ainda diziam que teria sido das duas suites( estávamos em quarto conjugado)... Um completo absurdo, nem sequer utilizamos o 2.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!",ducha,negativa
Please extract the sentiment polarity for the given aspect in the review:,"nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,Estivemos hospedados no hotel no mês de abril/2012 e só temos elogios a fazer.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!",café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,"É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.",lojas,positiva
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.,apartamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.,corredor,neutra
Please extract the sentiment polarity for the given aspect in the review:,A conexão wifi deve pegar em todos os quartos.,quarto,neutra
Please extract the sentiment polarity for the given aspect in the review:,Deveriam ter serviço de laundromatic self service.,serviço,neutra
Please extract the sentiment polarity for the given aspect in the review:,Quartos enormes e confortáveis.,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,Funcionários atenciosos.,funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,Buffet do hotel barato e variado.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: Os apartamentos altos virados para o sul tem vista espetacular para o Paris e o show de águas do Bel...,apartamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Em se tratando de Nova York, é um preço bem razoável.",preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O único porém é que o atendimento da recepção não é muito amigável e em 3 dias que fiquei lá, não repuseram o shampoo e o sabonete!",recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).,hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).,quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,Pasme que a janela do chuveiro tem visão para o corredor do Hotel e para a escada de incêndio.,chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,O estacionamento é um roubo ( 57 dólares).,estacionamento,negativa
Please extract the sentiment polarity for the given aspect in the review:,O local do café da manhã são dois quartos de porta aberta e cabe apenas 6 pessoas.,café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",escada,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,Estive com minha familia hospedado neste hotel.,hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,Muito precário o serviço.,serviço,negativa
Please extract the sentiment polarity for the given aspect in the review:,A unica coisa que funciona bem é a internet.,internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",travesseiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.,apartamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.,cozinha,positiva
Please extract the sentiment polarity for the given aspect in the review:,O café da manhã oferecido só tem muffins (de muitos sabores).,café da manhã,neutra
Please extract the sentiment polarity for the given aspect in the review:,É lindo o hotel e muito bem localizado.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,O atendimento foi horrível.,atendimento,negativa
Please extract the sentiment polarity for the given aspect in the review:,Tínhamos reservado um quarto pra três pessoas e o quarto que nos foi dado mal cabia 2 pessoas.,quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Eu e minha filha ficamos num quarto no sótão, mínimo, como uma caixa de papel, e qulaquer movimento no quarto ao lado era ouvido dentro do nosso quarto.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,As cortinas estavam empoeiradas embora o quarto e o banheiro estivessem limpos.,cortina,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",localização,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",rua,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é barulhento, nao com o barulho da rua mas dos proprios hospedes.",rua,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: Todos os quartos são bons e silenciosos as janelas são blindadas evitando som externo,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,Excelente localização.,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Ja estive nesse hotel por 3 vezes.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Ponto negativo: Nao sai agua do chuveiro e sim um spray de agua...,chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,O personnel de housekeeping parece ser agora terceirizado e a limpeza dos utensilios de cozinha deixa um pouco a desejar.,limpeza,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Room Tip: Todos os quartos são bons, espaçosos, excelente iluminação e decoração clean",iluminação,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Fomos muito bem atendidos durante todo o periodo com exceção dos serviços de Concierge.,serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Foi um hotel com menor custo que encontrei em NYC, que fosse limpo e bem localizado.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O cafe da manha era mt bom, assim como atendimento do bar.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,A recepção de madrugada era pessima.,recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"voltaria pelo preço, mas pensaria desse pessimo serviço de recepção.",preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",ducha,positiva
Please extract the sentiment polarity for the given aspect in the review:,"muito limpo e o café da manhã atende todas as necessidades de quem aproveita o dia todo em Paris e se utiliza do hotel apenas para dormir, fica próximo ao metrô e os funcionários são bem bacanas e falam diversos idiomas.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"muito limpo e o café da manhã atende todas as necessidades de quem aproveita o dia todo em Paris e se utiliza do hotel apenas para dormir, fica próximo ao metrô e os funcionários são bem bacanas e falam diversos idiomas.",funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Chegamos no hotel por volta das 07h da manhã, reservamos o hotel desde a noite anterior para 4 adultos, onde nosso voucher da empresa diziam 2 doble bed.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Perfeito, chegamos cansados após 9 horas de viagem, e subimos ao apto, quando chegamos detectamos apenas uma cama.",cama,neutra
Please extract the sentiment polarity for the given aspect in the review:,Não tem competencia e qualidade em atendimento.,atendimento,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Foi a pior experiência que tivemos (eu, minha mulher e filho de 13 anos) na hospedagem em Paris neste Hotel: Mister Bed City Bagnolet.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,Gostamos muito do hotel.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Toca rock o tempo todo no hall, cassino e elevadores, música de primeira!",cassino,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Toca rock o tempo todo no hall, cassino e elevadores, música de primeira!",elevador,positiva
Please extract the sentiment polarity for the given aspect in the review:,O hotel tem pontos positivos e negativos.,hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Pontos positivos - serviço de reservas muito bom, atendentes (recepcionistas) muito atenciosos, simpáticos, prestativos e pacientes, inglês fluente.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Frigobar bom e completo, banheiro com chuveiro muito bom (quesito essencial no inverno!) e sistema de calefação pra secagem de roupas.",frigobar,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Frigobar bom e completo, banheiro com chuveiro muito bom (quesito essencial no inverno!) e sistema de calefação pra secagem de roupas.",chuveiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Frigobar bom e completo, banheiro com chuveiro muito bom (quesito essencial no inverno!) e sistema de calefação pra secagem de roupas.",calefação,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Pontos negativos - por ser todo coberto de carpetes e não restringir o uso do cigarro dentro do hotel, não sei o que foi mas o quarto tinha um odor muito desagradável de cigarro com perfume, não sei explicar, (não sei se o sistema de calefação abrangia todo o hotel e assim o odor era transmitido para todos os cômodos ou se a camareira fumava ao limpar o quarto) e forte, mesmo depois de limpo, tinha que chegar e abrir as janelas, mesmo com o frio que estava na cidade!",carpete,negativa
Please extract the sentiment polarity for the given aspect in the review:,"E o café da manhã deixa muito a desejar, pães e croissants frios e dormidos, pouca variedade de alimentos, não recomendo pagar pelo café da manhã, tome-o na rua!",café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,Gostei muito da localização.,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Há estação de metrô bem próxima do hotel.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O pessoal do atendimento é extremamente simpático,",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O café da manhã continental é simples, mas tudo a tempo e a hora.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto é bem grande e está todo reformado,",quarto,positiva
