inputs,instructions,outputs
Please extract the aspect terms in the review:,A maior enganacão da minha vida!,Ningún aspecto
Please extract the aspect terms in the review:,"Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo.",Ningún aspecto
Please extract the aspect terms in the review:,"Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor.",Ningún aspecto
Please extract the aspect terms in the review:,"Quando abrimos a porta do quarta, um cheiro insuportável de cigarro.",Ningún aspecto
Please extract the aspect terms in the review:,"Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam.",Ningún aspecto
Please extract the aspect terms in the review:,"Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete.",Ningún aspecto
Please extract the aspect terms in the review:,"Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo.",Ningún aspecto
Please extract the aspect terms in the review:,"Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet.",Ningún aspecto
Please extract the aspect terms in the review:,"Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel.",Ningún aspecto
Please extract the aspect terms in the review:,"Formula 1, só no Brasil!!!",Ningún aspecto
Please extract the aspect terms in the review:,"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",quarto [ssep] hotel [ssep] escada [ssep] elevador
Please extract the aspect terms in the review:,Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.,recepção
Please extract the aspect terms in the review:,A relação qualidade/preço é péssima.,Ningún aspecto
Please extract the aspect terms in the review:,A vizinhança é esquisita e o quarto do hotel é muito pequeno.,quarto [ssep] hotel
Please extract the aspect terms in the review:,O cobertor da cama cheirava a urina e o banheiro também fedia.,cama
Please extract the aspect terms in the review:,Os empregados do hotel são extremamente mal-educados e grossieros.,Ningún aspecto
Please extract the aspect terms in the review:,Não recomendo de maneira alguma!,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",hotel [ssep] localização [ssep] internet
Please extract the aspect terms in the review:,"O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.",quarto [ssep] café da manhã
Please extract the aspect terms in the review:,"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",atendimento [ssep] tv [ssep] elevador
Please extract the aspect terms in the review:,Acabo de chegar de New York e tudo esteve perfeito.,Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.,Ningún aspecto
Please extract the aspect terms in the review:,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?",localização [ssep] hotel
Please extract the aspect terms in the review:,Seus atendentes e serviços são bem básicos e objetivos.,serviço
Please extract the aspect terms in the review:,O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,café da manhã [ssep] serviço de quarto [ssep] limpeza
Please extract the aspect terms in the review:,"Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores.",preço
Please extract the aspect terms in the review:,"Os quartos eram limpos e novos, porém um pouco pequenos.",quarto
Please extract the aspect terms in the review:,"Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente.",cama
Please extract the aspect terms in the review:,"Se volta à NY, definitivamente pretendo ficar novamente no hotel.",hotel
Please extract the aspect terms in the review:,Adorei minha estadia no Sheraton New York.,Ningún aspecto
Please extract the aspect terms in the review:,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",localização [ssep] atendimento [ssep] hotel
Please extract the aspect terms in the review:,Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema.,recepção
Please extract the aspect terms in the review:,"Hotel confortável, decoração bonita e um serviço muito bom.",Ningún aspecto
Please extract the aspect terms in the review:,"Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão.",Ningún aspecto
Please extract the aspect terms in the review:,Recomendo.,Ningún aspecto
Please extract the aspect terms in the review:,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar.",localização
Please extract the aspect terms in the review:,"Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio.",cidade
Please extract the aspect terms in the review:,"O quarto, apesar de pequeno, muito confortável e bonito!",quarto
Please extract the aspect terms in the review:,"Com um serviço de limpeza impecável, foi uma estadia bem agradável.",serviço [ssep] limpeza
Please extract the aspect terms in the review:,"Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",Ningún aspecto
Please extract the aspect terms in the review:,"Apesar de boa localização, um dos piores hotéis que já fiquei.",localização
Please extract the aspect terms in the review:,"Os elevadores já são pequenos, quartos também.",elevador [ssep] quarto
Please extract the aspect terms in the review:,A limpeza é falha.,limpeza
Please extract the aspect terms in the review:,"Quartos mal limpos, funcionários cheirando muito mal e também mal-educados.",funcionários
Please extract the aspect terms in the review:,"Dentre as grosserias, um recepcionista reclamando do horário do check-out.",horário
Please extract the aspect terms in the review:,Impossível de recomendar o hotel para um amigo.,hotel
Please extract the aspect terms in the review:,Perde todo o padrão Ibis.,Ningún aspecto
Please extract the aspect terms in the review:,"Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo.",Ningún aspecto
Please extract the aspect terms in the review:,"o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.",hotel [ssep] elevador
Please extract the aspect terms in the review:,A recepção fica num ângula que nem vê quem entra e sai..,recepção
Please extract the aspect terms in the review:,"Apesar dos quartos serem bem pequenos, achei limpos e possibiltam sono agradável.",Ningún aspecto
Please extract the aspect terms in the review:,"É muito distante dos pontos turísticos de Paris, apesar de estação de metro próximo, perde-se muito tempo com deslocamento.",Ningún aspecto
Please extract the aspect terms in the review:,Vi até um testando a fechadura de um quarto para ver se não estava aberto...,Ningún aspecto
Please extract the aspect terms in the review:,Dá certa insegurança...,Ningún aspecto
Please extract the aspect terms in the review:,"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",atendimento [ssep] quarto [ssep] café da manhã [ssep] elevador
Please extract the aspect terms in the review:,"Passamos 4 excelentes noites e voltaremos à Paris um dia e pretendemos ir para lá novamente, pois a relação custo-benefício é recompensadora.",custo-benefício
Please extract the aspect terms in the review:,"Eu , mulher e filha ficamos muito satisfeitos com o hotel.",hotel
Please extract the aspect terms in the review:,"Room Tip: Ficamos no 22, de frente para a rua, que é tranquila e segura, pois é próximo da residência oficial...",rua
Please extract the aspect terms in the review:,Banheiro sem box com chuveiro que vazava água pelas juntas.,chuveiro
Please extract the aspect terms in the review:,O colchão era muito ruim e deformado e havia muito barulho nos corredores.,colchão
Please extract the aspect terms in the review:,O chão do quarto estava bastante sujo e engordurado.,Ningún aspecto
Please extract the aspect terms in the review:,Não trocaram as toalhas e tinha um barata no banheiro.,Ningún aspecto
Please extract the aspect terms in the review:,"Apesar do hotel ficar bem perto de uma estação de metrô, o local da cidade não é bom.",Ningún aspecto
Please extract the aspect terms in the review:,"Boa localização, em bairro silencioso.",localização
Please extract the aspect terms in the review:,Bom café da manhã e atendimento atencioso.,café da manhã [ssep] atendimento
Please extract the aspect terms in the review:,"Em relação aos quartos, mesmo para o padrão proposto pela rede IBIS, não são minúsculos.",quarto
Please extract the aspect terms in the review:,Acomodam bem um casal.,casal
Please extract the aspect terms in the review:,"A conexão de Internet funcionou muito bem, mas conta apenas com uma estação comunitária.",internet
Please extract the aspect terms in the review:,"Transporte próximo, metrô a três ruas de distância e trens na Gare Montparnasse.",Ningún aspecto
Please extract the aspect terms in the review:,Não utilizamos ônibus.,Ningún aspecto
Please extract the aspect terms in the review:,"Muitas opções próximas para escolha de restaurantes (não turísticos) , mercado e frutaria.",Ningún aspecto
Please extract the aspect terms in the review:,WIFI gratuita.,Ningún aspecto
Please extract the aspect terms in the review:,"Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...",apartamento [ssep] cama
Please extract the aspect terms in the review:,Bateram na porta e minha esposa gritou que tinha alguém dentro do quarto mas mesmo assim sem permissão um funcionário da manutenção do hotel entrou no quarto para pegar um teclado de computado.,hotel
Please extract the aspect terms in the review:,"Mas este não foi o maior problema pois não estamos livres destes deslizes acontecer, o problema maior foi a forma como a chefia da recepção agiu pois, quando fui reclamar, a chefe da recepção simplesmente disse que tinha mandado o funcionário fazer o que fez e que era normal ele entrar nos quartos com hospedes se trocando.",recepção
Please extract the aspect terms in the review:,Chegamos no Novotel com a certeza que seria tudo bem por se tratar de um 4 estrelas renomado.,Ningún aspecto
Please extract the aspect terms in the review:,Fomos bem recebidos e tudo ocorria tranquilamente quando no 3 dia de hospedagem eu tive de sair e minha esposa ficou sozinha no quarto.,Ningún aspecto
Please extract the aspect terms in the review:,Neste momento minha esposa estava se trocando e não deu a mínima e entrou de forma apressada e abrupta.,Ningún aspecto
Please extract the aspect terms in the review:,"Eu retruquei que por enquanto que o quartos estivesse com as diárias pagas pelos hóspedes, os mesmos tinham de respeitar nossa privacidade pois não se entra em quartos de hotel com os hóspedes dentro, citei até a camareira que todas as vezes que estávamos no quarto voltava depois.",Ningún aspecto
Please extract the aspect terms in the review:,Achei que a maneira simplória que ela tratou o assunto não foi a de um hotel do nível que esperava encontrar no Novotel.,Ningún aspecto
Please extract the aspect terms in the review:,Não posso tolerar o descaso para um problema como este pois quando estamos em um quarto de hotel precisamos ter nossa privacidade preservada e a chefe da recepção tratar o problema da forma que tratou foi realmente repugnante e acho que nunca mais voltarei à um Novotel pois pagamos caro para termos o conforto e a confiabilidade de um hotel renomado e com 4 estrelas.,Ningún aspecto
Please extract the aspect terms in the review:,"Sabemos que pequenos deslizes podem acontecer mas sei também que têm de ser resolvidos de maneira satisfatória e rápida e não da forma que foi conduzida pela recepçãoo do Novotel pois se fosse da maneira que ela disse a camareira não precisaria bater, simplesmente entraria para fazer a arrumação quer estivéssemos dormindo ou não.",Ningún aspecto
Please extract the aspect terms in the review:,Fiquei muito decepcionado com a maneira que o Hotel se posicionou perante o problema.,Ningún aspecto
Please extract the aspect terms in the review:,"Com certeza, a pior experiência que tivemos em um Hotel.",hotel
Please extract the aspect terms in the review:,"Ele esta em Péssimas condições de conservação, desde a ducha do banheiro que nao saia água, as paredes descascadas.",ducha
Please extract the aspect terms in the review:,Funcionários despreparados e nada simpáticos.,funcionários
Please extract the aspect terms in the review:,"No check out, queriam nos cobras € 100 , dizendo que quebramos a tampa do vaso sanitário, e ainda diziam que teria sido das duas suites( estávamos em quarto conjugado)... Um completo absurdo, nem sequer utilizamos o 2.",quarto
Please extract the aspect terms in the review:,Banheiro e mto menos quebramos nada.,Ningún aspecto
Please extract the aspect terms in the review:,"A recepcionista levantou a voz afirmando que teríamos que pagar SIM, e que no caso chamaria a camareira para resolver conosco... Um completo despreparo e descaso pelo hospede.",Ningún aspecto
Please extract the aspect terms in the review:,"A camareira obviamente Nao apareceu e depois da longa discussao, concordaram que estavam errados... UM DESASTRE TOTAL!!!!!!!",Ningún aspecto
Please extract the aspect terms in the review:,"O Room Service alem de Nao ter opções, encerra mto cedo.",Ningún aspecto
Please extract the aspect terms in the review:,NAO RECOMENDO A NINGUÉM!!!,Ningún aspecto
Please extract the aspect terms in the review:,"nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!",ducha [ssep] hotel
Please extract the aspect terms in the review:,Comentar o que e de que?,Ningún aspecto
Please extract the aspect terms in the review:,"nao sejam enrolados, nao acredite na propaganda disto.",Ningún aspecto
Please extract the aspect terms in the review:,Estivemos hospedados no hotel no mês de abril/2012 e só temos elogios a fazer.,hotel
Please extract the aspect terms in the review:,"Demorei muito pra fazer essa avaliação, mas certamente não poderia deixar de fazê-lo.",Ningún aspecto
Please extract the aspect terms in the review:,O hotel é muito bem localizado e as pessoas são extremamente gentis.,Ningún aspecto
Please extract the aspect terms in the review:,"Agradecemos, nominalmente às senhoritas Carolin, Juicy e Jesica que sempre estiveram dispostas a nos atender com total presteza.",Ningún aspecto
Please extract the aspect terms in the review:,Certamente retornarei em muito breve!,Ningún aspecto
Please extract the aspect terms in the review:,"É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!",café da manhã [ssep] quarto
Please extract the aspect terms in the review:,"A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.",localização [ssep] lojas
Please extract the aspect terms in the review:,Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.,apartamento [ssep] corredor
Please extract the aspect terms in the review:,"É um hotel de 4 estrelas, mas não parece.",Ningún aspecto
Please extract the aspect terms in the review:,A conexão wifi deve pegar em todos os quartos.,quarto
Please extract the aspect terms in the review:,Deveriam ter serviço de laundromatic self service.,serviço
Please extract the aspect terms in the review:,Eles tem um equipamento bem localizado mas que precisa de reparos.,Ningún aspecto
Please extract the aspect terms in the review:,Deve ter frigorbar em todos os quartos e devem repor água todo dia.,Ningún aspecto
Please extract the aspect terms in the review:,Carlos,Ningún aspecto
Please extract the aspect terms in the review:,Quartos enormes e confortáveis.,quarto
Please extract the aspect terms in the review:,Funcionários atenciosos.,funcionários
Please extract the aspect terms in the review:,Buffet do hotel barato e variado.,hotel
Please extract the aspect terms in the review:,Room Tip: Os apartamentos altos virados para o sul tem vista espetacular para o Paris e o show de águas do Bel...,apartamento
Please extract the aspect terms in the review:,"Em frente a Bellagio e Caesars e vizinho do Paris, no coração da Strip.",Ningún aspecto
Please extract the aspect terms in the review:,Ótimo ponto de partida tanto para a parte sul quanto norte da avenida.,Ningún aspecto
Please extract the aspect terms in the review:,Custo benefício excelente se comparado a seus vizinhos.,Ningún aspecto
Please extract the aspect terms in the review:,"Não tem o nome de alguns outros, mas sem dúvida vale indicação.",Ningún aspecto
Please extract the aspect terms in the review:,"Em se tratando de Nova York, é um preço bem razoável.",preço
Please extract the aspect terms in the review:,"A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.",localização [ssep] quarto
Please extract the aspect terms in the review:,"O único porém é que o atendimento da recepção não é muito amigável e em 3 dias que fiquei lá, não repuseram o shampoo e o sabonete!",recepção
Please extract the aspect terms in the review:,"O banheiro é muito bonito, aconchegante.",Ningún aspecto
Please extract the aspect terms in the review:,"A sorte é que eu comprei shampoo e sabonete por lá mesmo, no Walmart....",Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Peça quartos perto do elevador.,Ningún aspecto
Please extract the aspect terms in the review:,O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).,hotel [ssep] quarto
Please extract the aspect terms in the review:,Pasme que a janela do chuveiro tem visão para o corredor do Hotel e para a escada de incêndio.,chuveiro
Please extract the aspect terms in the review:,O estacionamento é um roubo ( 57 dólares).,estacionamento
Please extract the aspect terms in the review:,O local do café da manhã são dois quartos de porta aberta e cabe apenas 6 pessoas.,café da manhã
Please extract the aspect terms in the review:,Este foi um dos piores hotéis que já me hospedei.,Ningún aspecto
Please extract the aspect terms in the review:,"Se puder chamar aquilo de quarto, pois cabe você ou as malas.",Ningún aspecto
Please extract the aspect terms in the review:,Basta abrir a persiana do corredor que podem assistir você tomando banho (Veja a foto).,Ningún aspecto
Please extract the aspect terms in the review:,Não sei como o Tripadvisor premiou este hotel.,Ningún aspecto
Please extract the aspect terms in the review:,Realmente é jogar dinheiro fora.,Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: A dica que vou adicionar a quem quer conhecer New York e Manhatan é de hospedar aos redores da cidad...,Ningún aspecto
Please extract the aspect terms in the review:,"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",hotel [ssep] elevador [ssep] escada
Please extract the aspect terms in the review:,"HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS .",Ningún aspecto
Please extract the aspect terms in the review:,NÃO RECOMENDO A NENHUM VIAJANTE..,Ningún aspecto
Please extract the aspect terms in the review:,"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.",hotel [ssep] serviço
Please extract the aspect terms in the review:,Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .,Ningún aspecto
Please extract the aspect terms in the review:,Estive com minha familia hospedado neste hotel.,hotel
Please extract the aspect terms in the review:,Muito precário o serviço.,serviço
Please extract the aspect terms in the review:,A unica coisa que funciona bem é a internet.,internet
Please extract the aspect terms in the review:,Sujo e pouca higienie.,Ningún aspecto
Please extract the aspect terms in the review:,Nao recomendo para ninguém ficamos alérgicos a picada de inseto.,Ningún aspecto
Please extract the aspect terms in the review:,Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita.,hotel
Please extract the aspect terms in the review:,"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",quarto [ssep] cama [ssep] travesseiro
Please extract the aspect terms in the review:,Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.,apartamento [ssep] cozinha
Please extract the aspect terms in the review:,"Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos.",Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Vale a pena pegar um apartamento com sala e cozinha.,Ningún aspecto
Please extract the aspect terms in the review:,O café da manhã oferecido só tem muffins (de muitos sabores).,café da manhã
Please extract the aspect terms in the review:,É lindo o hotel e muito bem localizado.,hotel
Please extract the aspect terms in the review:,Estive no Yotel em julho/2011.,Ningún aspecto
Please extract the aspect terms in the review:,"Novinho em folha, cabines sao pequenas mas confortáveis.",Ningún aspecto
Please extract the aspect terms in the review:,"Em cada andar, uma copa contendo forno de microondas, frigobar, maquina de café capuccino, chá , chocolate, água , gelo...tudo Free à disposição dos hóspedes.",Ningún aspecto
Please extract the aspect terms in the review:,Há tbem maquina para comprar refrigerantes.,Ningún aspecto
Please extract the aspect terms in the review:,O atendimento foi horrível.,atendimento
Please extract the aspect terms in the review:,Tínhamos reservado um quarto pra três pessoas e o quarto que nos foi dado mal cabia 2 pessoas.,quarto
Please extract the aspect terms in the review:,Estivemos lá em 2008.,Ningún aspecto
Please extract the aspect terms in the review:,"Ficamos no mesmo prédio do bistrot, não conseguíamos dormir por causa do barulho, as paredes são tão finas que parece que a pessoa que sobe a escada está entrando no teu quarto.",Ningún aspecto
Please extract the aspect terms in the review:,"Tivemos a impressão que por sermos brasileiras, nos foi dado o pior quarto e sem a menor preocupação de nos antender ....",Ningún aspecto
Please extract the aspect terms in the review:,"Felizmente, no dia seguinte, conseguimos um hotel bem melhor nas proximidades e nos mudamos.",Ningún aspecto
Please extract the aspect terms in the review:,"Pelo menos, eles nos devolveram o dinheiro que já havíamos pago pelas estadias que não usufruímos.",Ningún aspecto
Please extract the aspect terms in the review:,Não recomendo pra ninguém !!!!,Ningún aspecto
Please extract the aspect terms in the review:,Muito menos pra brasileiros ...somos discriminados lá !,Ningún aspecto
Please extract the aspect terms in the review:,"Eu e minha filha ficamos num quarto no sótão, mínimo, como uma caixa de papel, e qulaquer movimento no quarto ao lado era ouvido dentro do nosso quarto.",quarto
Please extract the aspect terms in the review:,As cortinas estavam empoeiradas embora o quarto e o banheiro estivessem limpos.,cortina
Please extract the aspect terms in the review:,"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",localização [ssep] hotel [ssep] rua
Please extract the aspect terms in the review:,Staff deu várias informações erradas para nós.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é barulhento, nao com o barulho da rua mas dos proprios hospedes.",rua
Please extract the aspect terms in the review:,Eu me senti enganada pelas fotos no site.,Ningún aspecto
Please extract the aspect terms in the review:,O hotel é bem localizado e o pessoal da recepcao é muito atencioso porem o hotel esta em reforma e a manutencao é pessima.,Ningún aspecto
Please extract the aspect terms in the review:,Os quartos sao escuros e o servico de limpeza deixa a desejar.,Ningún aspecto
Please extract the aspect terms in the review:,Banheiro com mofo.,Ningún aspecto
Please extract the aspect terms in the review:,"Apesar da reforma, o carpete nao foi trocado!",Ningún aspecto
Please extract the aspect terms in the review:,"O cafe da manha é fraco, mas seria satisfatorio nao fosse a falta de cuidado com os alimentos.",Ningún aspecto
Please extract the aspect terms in the review:,Pao descoberto e encostando na parede mofada.,Ningún aspecto
Please extract the aspect terms in the review:,Eu nao tive coragem de tomar cafe da manha ali apesar de ja estar incluido na minha diaria.,Ningún aspecto
Please extract the aspect terms in the review:,"Qualquer movimento no quarto ao lado ou a cima, voce escuta.",Ningún aspecto
Please extract the aspect terms in the review:,Eu nao volto e nao recomendo.,Ningún aspecto
Please extract the aspect terms in the review:,"Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.",atendimento [ssep] localização
Please extract the aspect terms in the review:,Room Tip: Todos os quartos são bons e silenciosos as janelas são blindadas evitando som externo,quarto
Please extract the aspect terms in the review:,"Perto de tudo e de locais estratégicos, como teatro, lojas, metro.",Ningún aspecto
Please extract the aspect terms in the review:,Voltaremos assim que tivermos chance!,Ningún aspecto
Please extract the aspect terms in the review:,Recomendo!,Ningún aspecto
Please extract the aspect terms in the review:,Excelente localização.,localização
Please extract the aspect terms in the review:,Ja estive nesse hotel por 3 vezes.,hotel
Please extract the aspect terms in the review:,Ponto negativo: Nao sai agua do chuveiro e sim um spray de agua...,chuveiro
Please extract the aspect terms in the review:,"Preparado para receber brasileiros que nao dominam o idioma ingles, os funcionarios tem paciencia para tentar compreender.",Ningún aspecto
Please extract the aspect terms in the review:,"Melhor vaso sanitario que ja usei na vida, o sistema de descarga parece uma bomba de sucção!!!",Ningún aspecto
Please extract the aspect terms in the review:,Queira uma dessas na minha casa!,Ningún aspecto
Please extract the aspect terms in the review:,O Buffet do hotel é muito fraco!,Ningún aspecto
Please extract the aspect terms in the review:,Visite outros principalmente o do Aria e Bellagio,Ningún aspecto
Please extract the aspect terms in the review:,O personnel de housekeeping parece ser agora terceirizado e a limpeza dos utensilios de cozinha deixa um pouco a desejar.,limpeza
Please extract the aspect terms in the review:,"Room Tip: Todos os quartos são bons, espaçosos, excelente iluminação e decoração clean",iluminação
Please extract the aspect terms in the review:,Excelente location no East side.,Ningún aspecto
Please extract the aspect terms in the review:,Excelente personnel!,Ningún aspecto
Please extract the aspect terms in the review:,Dá para ir ao Central Park andando.,Ningún aspecto
Please extract the aspect terms in the review:,Bem próximo tem um excelente supermercado Food Emporium.,Ningún aspecto
Please extract the aspect terms in the review:,Ao sair do quarto não deixe de avisar no front desk que vc gostaria de ter o quarto arrumado.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.",hotel [ssep] localização
Please extract the aspect terms in the review:,Fomos muito bem atendidos durante todo o periodo com exceção dos serviços de Concierge.,serviço
Please extract the aspect terms in the review:,Ficamos no periodo de 25.01.12 a 10.02.12 em uma reserva de ultima hora.,Ningún aspecto
Please extract the aspect terms in the review:,O qaurto era confortavel e possui uma mini-cozinha com geladeira e forno de micro-ondas pro cafe da manhã.,Ningún aspecto
Please extract the aspect terms in the review:,Recomendo e ficaria la novamente.,Ningún aspecto
Please extract the aspect terms in the review:,"Foi um hotel com menor custo que encontrei em NYC, que fosse limpo e bem localizado.",hotel
Please extract the aspect terms in the review:,"O cafe da manha era mt bom, assim como atendimento do bar.",atendimento
Please extract the aspect terms in the review:,A recepção de madrugada era pessima.,recepção
Please extract the aspect terms in the review:,"voltaria pelo preço, mas pensaria desse pessimo serviço de recepção.",preço
Please extract the aspect terms in the review:,Fiquei no Pod 51 em NYC em maio de 2012.,Ningún aspecto
Please extract the aspect terms in the review:,"O banheiro foi compartilhado, estava sempre limpo e não tinha filas.",Ningún aspecto
Please extract the aspect terms in the review:,Sempre que precisava estava vazio e limpo.,Ningún aspecto
